Aamir Loonat <aloonat@hogwarts.edu>
Alicia Spinnet <aspinnet@hogwarts.edu>
Andrew Cleveley <aclevely@hogwarts.edu>
Andrew Kirke <akirke@hogwarts.edu>
Angelina Johnson <ajohnson@hogwarts.edu>
Angus Matlock <amatlock@hogwarts.edu>
Anna Mirfield <amirfield@hogwarts.edu>
Carl Hopkins <chopkins@hogwarts.edu>
Colin Creevey <ccreevey@hogwarts.edu>
Cormac McLaggen <cmclaggen@hogwarts.edu>
David Nolton <dnolton@hogwarts.edu>
Dean Thomas <dthomas@hogwarts.edu>
Dennis Creevey <dcreevey@hogwarts.edu>
Eloise Midgen <emidgen@hogwarts.edu>
Fred Weasley <fweasley@hogwarts.edu>
Geoffey Hooper <ghooper@hogwarts.edu>
George Weasley <gweasley@hogwarts.edu>
Ginny Weasley <gweasley@hogwarts.edu>
Harry Potter <hpotter@hogwarts.edu>
Hermione Granger <hgranger@hogwarts.edu>
Jack Sloper <jsloper@hogwarts.edu>
Jason Swann <jswann@hogwarts.edu>
Julie Parkes <jparkes@hogwarts.edu>
Katie Bell <kbell@hogwarts.edu>
Kenneth Towler <ktowler@hogwarts.edu>
Kenny Markham <kmarkham@hogwarts.edu>
Lavender Brown <lbrown@hogwarts.edu>
Lee Jordan <ljordan@hogwarts.edu>
Michael Karume <mkarume@hogwarts.edu>
Nandini Johar <njohar@hogwarts.edu>
Natalie Fairbourne <nfairbourne@hogwarts.edu>
Neil Randall <nrandall@hogwarts.edu>
Neville Longbottom <nlongbottom@hogwarts.edu>
Oliver Wood <owood@hogwarts.edu>
Parvati Patil <ppatil@hogwarts.edu>
Percy Weasley <pweasley@hogwarts.edu>
Rachael Codnor <rcodnor@hogwarts.edu>
Raza Mohammad <rmohammad@hogwarts.edu>
Ritchie Coote <rcoote@hogwarts.edu>
Roderick Seaton <rseaton@hogwarts.edu>
Romilda Vane <rvane@hogwarts.edu>
Ron Weasley <rweasley@hogwarts.edu>
Seamus Finnigan <sfinnigan@hogwarts.edu>
Sean Ogbourne <sogbourne@hogwarts.edu>
Terrence Fogarty <tfogarty@hogwarts.edu>
Thelma Holmes <tholmes@hogwarts.edu>
Thomas Paley <tpaley@hogwarts.edu>
Vicky Frobisher <vfrobisher@hogwarts.edu>
Wayne Portchester <wportchester@hogwarts.edu>
Yuvraj Suri <ysuri@hogwarts.edu>
